Sr. No.,Route No.,Route Order:,School_Code,School Name,Beneficiary,lat,lng
1,1,1,24240104212,Sarsiya Falia Khergam Prathmik Shala,21,20.651500701904297,73.112503051757812
2,1,2,24240104211,Bhasta Falia Khergam,58,20.641700744628906,73.102897644042969
3,1,3,24240108802,Vad Prathmik Shala ,145,20.678600311279297,73.101799011230469
4,1,4,24240108803,Vad Utara Falia Prathmik Shala,119,20.677499771118164,73.116203308105469
5,1,5,24240108801,Vad Kavla Khadak Prathmik Shala,36,20.670999526977539,73.108901977539062
6,1,6,24240100102,Achhavani Bandhad Falia Prathmik Shala,95,20.649499893188477,73.132797241210938
7,1,7,24240105901,Panaj Prathmik Shala,147,20.660900115966797,73.124198913574219
8,1,8,24240105902,Panaj Moti Kolivad Prathmik Shala,26,20.661800384521484,73.121696472167969
9,1,9,24240100402,Aamdhara Prathmik Shala ,178,20.723199844360352,73.110801696777344
10,1,10,24240100404,Aamdhara Navjagruti Prathmik Shala,54,20.713399887084961,73.1083984375
11,1,11,24240100401,Aamdhara Pahad Falia Prathmik Shala,55,20.715999603271484,73.118499755859375
12,1,12,24240100403,Aamdhara Samar Falia Prathmik Shala,52,20.715900421142578,73.130203247070313
13,1,13,24240106205,Pipalgabhan Prathmik Shala ,260,20.708999633789063,73.094200134277344
14,1,14,24240106201,Pipalgabhan Navchetan Prathmik Shala,59,20.729799270629883,73.083099365234375
15,1,15,24240106202,Pipalgabhan Khuntiya Amba ,29,20.720300674438477,73.1094970703125
16,1,16,24240106204,Pipalgabhan Gandhimandir Prathmik Shala,109,20.714300155639648,73.0927963256836
17,1,17,24240106203,Pipalgabhan Naikywad Prathmik Shala,33,20.693500518798828,73.094398498535156
18,1,18,24240107502,Soldhara Naykiwad Prathmik Shala,28,20.697599411010742,73.089897155761719
19,1,19,24240104401,Khundh Prathmik Shala,200,20.764200210571289,73.082099914550781
20,1,20,24240107007,Sadakpor Prathmik Shala ,105,20.737899780273438,73.093399047851563
21,1,21,24240107006,Sadakpor Golvad Prathmik Shala,95,20.754800796508789,73.068000793457031
22,1,22,24240107004,Sadakpor Ghaduli Falia Prathmik Shala,74,20.752799987792969,73.0739974975586
23,1,23,24240107001,Sadakpor Chadiya Prathmik Shala,91,20.746700286865234,73.0719985961914
24,1,24,24240107002,Sadakpor Bamaniya Prathmik Shala,53,20.751499176025391,73.07330322265625
25,1,25,24240107003,Sadakpor Dadara Falia Prathmik Shala,55,20.741199493408203,73.0999984741211
26,1,26,24240104402,Khundh Mahyavanshi Falia ,228,20.761499404907227,73.066001892089844
27,2,1,24240108602,Vav Prathmik Shala,72,20.643499374389648,73.079399108886719
28,2,2,24240102601,Ghej Prathmik Shala,54,20.693199157714844,73.059196472167969
29,2,3,24240102608,Ghej Dukan Falia,145,20.689399719238281,73.0521011352539
30,2,4,24240102605,Ghej Zadi Falia ,34,20.663700103759766,73.059799194335938
31,2,5,24240102603,Ghej Nana Dumbhariya ,56,20.668300628662109,73.072402954101563
32,2,6,24240102602,Ghej Khushal Falia ,18,20.670299530029297,73.0519027709961
33,2,7,24240102607,Ghej Vanzari,56,20.674600601196289,73.060699462890625
34,2,8,24240102609,Ghej Pahad Falia,22,20.67449951171875,73.056396484375
35,2,9,24240102604,Ghej Bharda Falia ,49,20.683300018310547,73.045402526855469
36,2,10,24240102606,Ghej Bid Prathmik Shala ,142,20.690700531005859,73.068000793457031
37,2,11,24240101301,Chari Prathmik Shala ,148,20.6697998046875,73.0436019897461
38,2,12,24240101302,Chari Naykiwad ,55,20.675100326538086,73.030899047851562
39,2,13,24240104802,Maliyadhara Prathmik Shala ,93,20.714099884033203,73.065902709960938
40,2,14,24240107501,Soldhara Prathmik Shala ,51,20.713100433349609,73.069999694824219
41,2,15,24240104801,Krishnanagar Maliyadhara,32,20.712099075317383,73.0647964477539
42,2,16,24240107503,Soldhara Dudhia Falia,62,20.711399078369141,73.068496704101563
43,2,17,24240107802,Talavchora Baroliya ,28,20.719900131225586,73.068000793457031
44,2,18,24240107801,Talavchora Shamla Falia ,16,20.716800689697266,73.059600830078125
45,2,19,24240108004,Tejlav Desai Falia Prathmik Shala,15,20.710100173950195,73.050102233886719
46,2,20,24240107804,Talavchora Prathmik Shala ,61,20.734199523925781,73.055000305175781
47,2,21,24240107803,Talavchora Desai Falia ,58,20.736900329589844,73.055900573730469
48,2,22,24240101601,Chikhli Kumar Shala ,91,20.757299423217773,73.05999755859375
49,2,23,24240101602,Chikhli Kanya Shala ,136,20.757999420166016,73.05999755859375
50,2,24,24240108101,Thala Prathmik Shala ,124,20.768299102783203,73.063301086425781
51,3,1,24240104206,Khergam Kumar Shala,277,20.634300231933594,73.093696594238281
52,3,2,24240104205,Khergam Kanya Shala,181,20.634799957275391,73.093299865722656
53,3,3,24240104210,Khergam Bavali Falia Prathmik Shala,145,20.6481990814209,73.094497680664063
54,3,4,24240104207,Savar Falia khergam,12,20.658500671386719,73.104499816894531
55,3,5,24240104204,Khergam Khakhari Falia Prathmik Shala,116,20.635499954223633,73.109703063964844
56,3,6,24240104209,Mishan Falia Prathmik Shala,120,20.62969970703125,73.108901977539062
57,3,7,24240104208,Khergam Laherka Prathmik Shala,47,20.624399185180664,73.1072006225586
58,3,8,24240108804,Vad Uncha Beda Prathmik Shala,42,20.6658992767334,73.089202880859375
59,3,9,24240108601,Vav Raghvav Falia,31,20.636699676513672,73.075798034667969
60,3,10,24240104215,Ven Falia Khergam,17,20.633800506591797,73.076301574707031
61,3,11,24240104214,Khergam Pahad Falia ,59,20.628700256347656,73.07330322265625
62,3,12,24240104216,Khergam Pomapad,57,20.620399475097656,73.084999084472656
63,3,13,24240104213,Khergam Shamla Falia Prathmik Shala,81,20.623300552368164,73.086997985839844
64,3,14,24240105501,Naranpore Prathmik Shala,199,20.611499786376953,73.073402404785156
65,3,15,24240100601,Bahej Prathmik Shala ,339,20.61669921875,73.1250991821289
66,3,16,24240100602,Bahej Kruti Khadak Prathmik Shala,62,20.607900619506836,73.120201110839844
67,3,17,24240101901,Debarpada Prathmik Shala ,146,20.626699447631836,73.140701293945313
68,3,18,24240101701,Chimanpada Prathmik Shala ,148,20.60519981,73.13569641
69,3,19,24240106702,Ruzavani Patel Falia Prathmik Shala,6,20.632999420166016,73.1333999633789
70,3,20,24240102502,Gauri Prathmik Shala,245,20.614299774169922,73.154502868652344
71,3,21,24240106701,Ruzavani Prathmik Shala ,106,20.635000228881836,73.122299194335938
72,3,22,24240105302,Nadhai Prathmik Shala ,148,20.609100341796875,73.09429931640625
73,3,23,24240105301,Nadhai Vachla Falia Prathmik Shala,36,20.610099792480469,73.0833969116211
74,3,24,24240105801,Pelad Bhairavi Prathmik Shala,64,20.60059929,73.11340332
75,3,25,24240101101,Navi Bhiarvi Prathmik Shala ,131,20.614200592041016,73.102302551269531
76,3,26,24240100104,Achhavani Mandir Falia Prathmik Shala,128,20.642299652099609,73.145301818847656
77,4,1,24240100105,Achhavani Hati Falia,34,20.650100708007813,73.158699035644531
78,4,2,24240103001,Godhtal Prathmik Shala ,234,20.670600891113281,73.214897155761719
79,4,3,24240103002,Godthal Mali Falia ,145,20.681299209594727,73.210601806640625
80,4,4,24240104602,Mandav Khadak Dungarpada ,60,20.691499710083008,73.251296997070313
81,4,5,24240102801,Ghodvani Prathmik Shala ,137,20.677099227905273,73.235397338867188
82,4,6,24240104604,Mandav Khadak Shinganveri ,50,20.669000625610352,73.249801635742188
83,4,7,24240102201,Dholumber Prathmik Shala ,266,20.661100387573242,73.2123031616211
84,4,8,24240104603,Mandav Khadak Tadpada ,40,20.687700271606445,73.248199462890625
85,4,9,24240104601,Mandav Khadak Prathmik Shala ,300,20.685800552368164,73.251899719238281
86,4,10,24240103004,Godthal Mandir Falia ,67,20.684000015258789,73.2061996459961
87,4,11,24240109101,Miyazari Prathmik Shala ,257,20.663299560546875,73.237602233886719
88,4,12,24240100201,Agasi Prathmik Shala ,97,20.670499801635742,73.206703186035156
89,4,13,24240108701,Velanpur Dungri Falia ,28,20.694299697875977,73.227798461914062
90,4,14,24240106103,Pati Prathmik Shala ,263,20.6026001,73.18900299
91,4,15,24240106102,Pati Dadri Falia ,69,20.60449982,73.1832962
92,4,16,24240106101,Pati Patel Falia ,50,20.60379982,73.19940186
93,4,17,24240103602,Kakadveri Prathmik Shala ,86,20.618099212646484,73.17919921875
94,4,18,24240103601,Kakadveri Deshmukh Falia ,161,20.612899780273438,73.200401306152344
95,4,19,24240108201,Toranvera Prathmik Shala ,259,20.63170051574707,73.1980972290039
96,4,20,24240108301,Vadpada Prathmik Shala ,36,20.60589981,73.16410065
97,4,21,24240106001,Panikhadak Prathmik Shala ,229,20.650800704956055,73.175300598144531
98,4,22,24240106002,Panikhadak Hanuman Falia ,58,20.649700164794922,73.19110107421875
99,4,23,24240105401,Nadagdhari Prathmik Shala ,63,20.660999298095703,73.186698913574219
100,4,24,24240103301,Jamanpada Prathmik Shala ,192,20.628499984741211,73.175003051757813
101,4,25,24240103302,Gavla Falia Jamanpada,103,20.627599716186523,73.160896301269531
102,4,26,24240102101,Dhamdhuma Prathmik Shala ,160,20.665300369262695,73.197799682617188
103,4,27,24240102202,Dholumber Tadbari Varg Shala ,37,20.654600143432617,73.222198486328125
104,5,1,24240106808,Rumla Chirpada Prathmik Shala,39,20.676399230957031,73.184402465820312
105,5,2,24240106802,Rumla Mohpada Prathmik Shala,40,20.694400787353516,73.18499755859375
106,5,3,24240106810,Shatadia Prathmik Shala,145,20.70210075378418,73.180496215820312
107,5,4,24240107401,Siyada Pradhanpada Prathmik Shala ,85,20.709699630737305,73.163002014160156
108,5,5,24240103003,Godthal Zadi Falia ,108,20.688299179077148,73.2145004272461
109,5,6,24240104301,Khudvel Prathmik Shala ,100,20.7362003326416,73.145599365234375
110,5,7,24240103701,Kaliyari Prathmik Shala ,183,20.723800659179688,73.1416015625
111,5,8,24240100901,Bamanvada Prathmik Shala ,114,20.733600616455078,73.135101318359375
112,5,9,24240104001,Khambhada Prathmik Shala ,164,20.759300231933594,73.10980224609375
113,5,10,24240104002,Khambhda Samar Falia ,25,20.750299453735352,73.1343002319336
114,5,11,24240104003,Khambhada Kanbivad ,31,20.756999969482422,73.110099792480469
115,5,12,24240102401,Fadvel Prathmik Shala ,157,20.743200302124023,73.174697875976563
116,5,13,24240102403,Fadvel Vadi Falia ,47,20.742900848388672,73.176597595214844
117,5,14,24240102402,Fadvel Pinjar Falia ,34,20.743099212646484,73.175796508789063
118,5,15,24240102405,Fadvel Nagji Falia ,43,20.743600845336914,73.174301147460937
